sample,t,motor_1,motor_2,motor_3,motor_4,motor_5,motor_6,dh_1,dh_2,dh_3,dh_4,dh_5,dh_6
0.0,7.070000265230192e-07,-1.54571533203125,-0.0011444091796875,-0.0156402587890625,-0.019073486328125,1.7261505126953125,-0.3635406494140625,-3.11651165882615,2.7309555908203125,-1.5732498963612576,-0.019073486328125,-1.5984430259976354,-0.3635406494140625
1.0,0.02015112400010821,-1.54571533203125,-0.0011444091796875,-0.0156402587890625,-0.019073486328125,1.7261505126953125,-0.3635406494140625,-3.11651165882615,2.7309555908203125,-1.5732498963612576,-0.019073486328125,-1.5984430259976354,-0.3635406494140625
2.0,0.04005335700003343,-1.54571533203125,-0.0011444091796875,-0.0156402587890625,-0.019073486328125,1.7261505126953125,-0.3635406494140625,-3.11651165882615,2.7309555908203125,-1.5732498963612576,-0.019073486328125,-1.5984430259976354,-0.3635406494140625
3.0,0.06005290699999932,-1.54571533203125,-0.0011444091796875,-0.0156402587890625,-0.019073486328125,1.7261505126953125,-0.3635406494140625,-3.11651165882615,2.7309555908203125,-1.5732498963612576,-0.019073486328125,-1.5984430259976354,-0.3635406494140625
4.0,0.08005511600003956,-1.54571533203125,-0.0011444091796875,-0.0156402587890625,-0.019073486328125,1.7261505126953125,-0.3635406494140625,-3.11651165882615,2.7309555908203125,-1.5732498963612576,-0.019073486328125,-1.5984430259976354,-0.3635406494140625
5.0,0.10017882200008899,-1.54571533203125,-0.0011444091796875,-0.0156402587890625,-0.019073486328125,1.7261505126953125,-0.3635406494140625,-3.11651165882615,2.7309555908203125,-1.5732498963612576,-0.019073486328125,-1.5984430259976354,-0.3635406494140625
6.0,0.12006000000008044,-1.54571533203125,-0.0011444091796875,-0.0156402587890625,-0.019073486328125,1.7261505126953125,-0.3635406494140625,-3.11651165882615,2.7309555908203125,-1.5732498963612576,-0.019073486328125,-1.5984430259976354,-0.3635406494140625
7.0,0.14005233100010628,-1.54571533203125,-0.0011444091796875,-0.0156402587890625,-0.019073486328125,1.7261505126953125,-0.3635406494140625,-3.11651165882615,2.7309555908203125,-1.5732498963612576,-0.019073486328125,-1.5984430259976354,-0.3635406494140625
8.0,0.16036452600008033,-1.54571533203125,-0.0011444091796875,-0.0156402587890625,-0.019073486328125,1.7261505126953125,-0.3635406494140625,-3.11651165882615,2.7309555908203125,-1.5732498963612576,-0.019073486328125,-1.5984430259976354,-0.3635406494140625
9.0,0.18005224000000908,-1.54571533203125,-0.0011444091796875,-0.0156402587890625,-0.019073486328125,1.7261505126953125,-0.3635406494140625,-3.11651165882615,2.7309555908203125,-1.5732498963612576,-0.019073486328125,-1.5984430259976354,-0.3635406494140625
